Target,Model,With_LoS_Accuracy,No_LoS_Accuracy,Accuracy_Diff,With_LoS_F1,No_LoS_F1,F1_Diff
Diagnosis,Logistic Regression,0.7692307692307693,0.75,-0.019230769230769273,0.7142857142857143,0.6880000000000001,-0.026285714285714246
Diagnosis,Random Forest,0.7371794871794872,0.7564102564102564,0.019230769230769162,0.6611570247933884,0.6779661016949152,0.016809076901526776
Diagnosis,Gradient Boosting,0.7948717948717948,0.7435897435897436,-0.05128205128205121,0.7419354838709677,0.6825396825396826,-0.05939580133128519
Diagnosis,HistGradientBoosting,0.7948717948717948,0.7564102564102564,-0.038461538461538436,0.75,0.6984126984126984,-0.051587301587301626
Diagnosis,SVM,0.7756410256410257,0.7564102564102564,-0.019230769230769273,0.7154471544715446,0.6833333333333335,-0.03211382113821115
Diagnosis,KNN,0.717948717948718,0.7115384615384616,-0.0064102564102563875,0.6393442622950819,0.6218487394957983,-0.01749552279928357
Diagnosis,Decision Tree,0.75,0.7051282051282052,-0.04487179487179482,0.6929133858267716,0.6515151515151516,-0.04139823431162004
Management,Logistic Regression,0.8846153846153846,0.7948717948717948,-0.08974358974358976,0.8709744891200524,0.7757816159638354,-0.09519287315621694
Management,Random Forest,0.9102564102564102,0.8333333333333334,-0.07692307692307687,0.9000380532483041,0.8131083290105722,-0.08692972423773193
Management,Gradient Boosting,0.903846153846154,0.7948717948717948,-0.10897435897435914,0.8953103913630229,0.7755829704886309,-0.11972742087439203
Management,HistGradientBoosting,0.9294871794871796,0.8846153846153846,-0.044871794871795045,0.9192730346576502,0.8743574234169139,-0.044915611240736286
Management,SVM,0.8525641025641025,0.7564102564102564,-0.09615384615384615,0.8341966675300009,0.734264608449588,-0.09993205908041292
Management,KNN,0.7628205128205128,0.717948717948718,-0.04487179487179482,0.733269116095592,0.6822779666816364,-0.05099114941395555
Management,Decision Tree,0.8653846153846154,0.7628205128205128,-0.10256410256410264,0.8679706865327981,0.7557836715912318,-0.11218701494156624
Severity,Logistic Regression,0.935897435897436,0.8653846153846154,-0.0705128205128206,0.9618320610687022,0.9225092250922509,-0.039322835976451365
Severity,Random Forest,0.9294871794871796,0.8910256410256411,-0.03846153846153855,0.958174904942966,0.9377289377289377,-0.02044596721402825
Severity,Gradient Boosting,0.935897435897436,0.8461538461538461,-0.08974358974358987,0.9612403100775192,0.9083969465648855,-0.052843363512633745
Severity,HistGradientBoosting,0.9423076923076924,0.8525641025641025,-0.08974358974358987,0.9649805447470818,0.9125475285171103,-0.05243301622997154
Severity,SVM,0.8846153846153846,0.8589743589743589,-0.02564102564102566,0.9343065693430656,0.920863309352518,-0.013443259990547518
Severity,KNN,0.8589743589743589,0.8397435897435898,-0.019230769230769162,0.9214285714285714,0.9110320284697508,-0.010396542958820532
Severity,Decision Tree,0.8910256410256411,0.8653846153846154,-0.02564102564102566,0.9343629343629344,0.9219330855018588,-0.012429848861075565
